alimento;level
avena      ;0
acelga     ;0
albahaca   ;0
apio       ;0
brocoli    ;0
caigua     ;0
calabaza   ;0
camucamu   ;0
coco       ;0
fresa      ;0
granadilla ;0
higo       ;0
lima       ;0
limon      ;0
lucuma     ;0
mandarina  ;0
mango      ;0
maracuya   ;0
melon      ;0
naranja    ;0
manzana    ;0
almendras  ;0
arroz      ;0
cafe       ;0
cebolla    ;0
cerveza    ;0
chirimoya  ;0
chocolate  ;0
conejo     ;0
res        ;0
pan        ;0
huevo      ;0
jamon      ;0
leche_vaca ;0
leche_cabra;0
lechuga    ;0
lentejas   ;0
mantequilla;0
miel       ;0
palta      ;0
pavo       ;0
pato       ;0
papa       ;0
pejerrey   ;0
pera       ;0
pina       ;0
platano    ;0
pimiento   ;0
pollo      ;0
queso      ;0
quinua     ;0
salchicha  ;0
te         ;0
tocino     ;0
tomate     ;0
sandia     ;0
cerdo      ;0
sardina    ;0
uva        ;0
venado     ;0
vino       ;0
yogurt     ;0
zapallo    ;0
zanahoria  ;0
pepinillo  ;0
vainitas   ;0
frijol;0
pallar   ;0
